2022-10-20 16:05:53,155 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-10-20 16:05:53,174 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-10-20 16:05:53,175 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-10-20 16:05:53,176 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-10-20 16:05:53,177 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-10-20 16:05:53,177 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-10-20 16:05:53,178 INFO  SwAddin.cs: 201 - Setting up command manager
2022-10-20 16:05:53,179 INFO  SwAddin.cs: 204 - Adding command manager
2022-10-20 16:05:53,180 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-10-20 16:05:53,182 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-10-20 16:05:53,182 INFO  SwAddin.cs: 210 - Adding event handlers
2022-10-20 16:05:53,184 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-10-20 16:37:29,063 INFO  SwAddin.cs: 294 - Assembly export called for file Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:30,791 INFO  SwAddin.cs: 313 - Saving assembly
2022-10-20 16:37:32,309 INFO  SwAddin.cs: 316 - Opening property manager
2022-10-20 16:37:32,323 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:32,329 INFO  ExportHelperExtension.cs: 1136 - Found 58 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:32,330 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:32,330 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 16:37:32,332 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 16:37:32,333 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 16:37:32,334 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 16:37:32,334 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 16:37:32,334 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:32,335 INFO  ExportHelperExtension.cs: 1136 - Found 58 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:32,335 INFO  ExportHelperExtension.cs: 1145 - Found 10 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 16:37:32,335 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 16:37:32,336 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 16:37:32,336 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
